table_name,data_type,column_name,explanation
output,aggregate,fri_sales,
output,aggregate,mon_sales,
output,aggregate,sat_sales,
output,aggregate,sun_sales,
output,aggregate,thu_sales,
output,aggregate,tue_sales,
output,aggregate,wed_sales,
output,intermediate,fri_sales1_/_fri_sales2,
output,intermediate,mon_sales1_/_mon_sales2,
output,intermediate,sat_sales1_/_sat_sales2,
output,intermediate,sun_sales1_/_sun_sales2,
output,intermediate,thu_sales1_/_thu_sales2,
output,intermediate,tue_sales1_/_tue_sales2,
output,intermediate,wed_sales1_/_wed_sales2,
