table_name,data_type,column_name,explanation
output,aggregate,apr_net,
output,aggregate,apr_sales,
output,aggregate,apr_sales_per_sq_foot,
output,aggregate,aug_net,
output,aggregate,aug_sales,
output,aggregate,aug_sales_per_sq_foot,
output,aggregate,dec_net,
output,aggregate,dec_sales,
output,aggregate,dec_sales_per_sq_foot,
output,aggregate,feb_net,
output,aggregate,feb_sales,
output,aggregate,feb_sales_per_sq_foot,
output,aggregate,jan_net,
output,aggregate,jan_sales,
output,aggregate,jan_sales_per_sq_foot,
output,aggregate,jul_net,
output,aggregate,jul_sales,
output,aggregate,jul_sales_per_sq_foot,
output,aggregate,jun_net,
output,aggregate,jun_sales,
output,aggregate,jun_sales_per_sq_foot,
output,aggregate,mar_net,
output,aggregate,mar_sales,
output,aggregate,mar_sales_per_sq_foot,
output,aggregate,may_net,
output,aggregate,may_sales,
output,aggregate,may_sales_per_sq_foot,
output,aggregate,nov_net,
output,aggregate,nov_sales,
output,aggregate,nov_sales_per_sq_foot,
output,aggregate,oct_net,
output,aggregate,oct_sales,
output,aggregate,oct_sales_per_sq_foot,
output,aggregate,sep_net,
output,aggregate,sep_sales,
output,aggregate,sep_sales_per_sq_foot,
