table_name,data_type,column_name,explanation
output,aggregate,B1_CNT,
output,aggregate,B1_CNTD,
output,aggregate,B1_LP,
output,aggregate,B2_CNT,
output,aggregate,B2_CNTD,
output,aggregate,B2_LP,
output,aggregate,B3_CNT,
output,aggregate,B3_CNTD,
output,aggregate,B3_LP,
output,aggregate,B4_CNT,
output,aggregate,B4_CNTD,
output,aggregate,B4_LP,
output,aggregate,B5_CNT,
output,aggregate,B5_CNTD,
output,aggregate,B5_LP,
output,aggregate,B6_CNT,
output,aggregate,B6_CNTD,
output,aggregate,B6_LP,
output,intermediate,*,
